Animal/Plant,Scientific Name,Author,RANK_NAME,REC_ID,Common Name,LISTING,EFFECTIVE_FROM,Change Type,Type of Change,Relevant Listing
Plant,Diospyros sphaerosepala var. calyculata,H.Perrier,VARIETY,192585,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros stenocarpa,(H.Perrier),SPECIES,192586,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros striicalyx,H.Perr.,SPECIES,160554,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros subacuta,Hiern,SPECIES,192587,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros subenervis,0,SPECIES,192588,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros subfalciformis,H.Perr.,SPECIES,160593,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros subsessilifolia,H.Perr.,SPECIES,160594,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros subtrinervis,H.Perr.,SPECIES,160571,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros tampinensis,H.Perr.,SPECIES,160567,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros tetraceros,H.Perr.,SPECIES,160607,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros tetrapoda,H.Perr.,SPECIES,160585,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros torquata,H.Perr.,SPECIES,160545,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros toxicaria,Hiern,SPECIES,192539,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros tropophylla,(H.Perrier),SPECIES,192590,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros urschii,H.Perr.,SPECIES,160605,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros velutipes,(H.Perrier) G.E.Schatz & Lowry,SPECIES,192571,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros vera,A.Chev.,SPECIES,192572,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros vescoi,Hiern,SPECIES,160600,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros viguieriana,H.Perr. ,SPECIES,160566,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Gnetum montanum,Markgraf,SPECIES,62078,,III,23/06/2010,Included in Appendix III,NEW,III
Plant,Lodoicea maldivica,(J. Gmelin) Pers.,SPECIES,8817,Double Coconut,III,14/10/2010,Included in Appendix III,NEW,III
Plant,Magnolia liliifera var. obovata,(Korth.) Govaerts,VARIETY,9762,,III,23/06/2010,Included in Appendix III,NEW,III
Plant,Meconopsis regia,G. Taylor,SPECIES,46554,Himalayan Poppy,III,23/06/2010,Included in Appendix III,NEW,III
Plant,Operculicarya hyphaenoides,H. Perrier 1944,SPECIES,192415,,II,23/06/2010,Included in Appendix II,NEW,II
Plant,Operculicarya pachypus,H. Perrier 1944,SPECIES,192416,,II,23/06/2010,Included in Appendix II,NEW,II
Plant,Pinus koraiensis,Sieber & Zucc.,SPECIES,32813,Korean Nut Pine,III,14/10/2010,Included in Appendix III,NEW,III
Plant,Podocarpus neriifolius,D.Don in Lambert,SPECIES,6212,Black Pine,III,23/06/2010,Included in Appendix III,NEW,III
Plant,Zygosicyos pubescens,Beentje. 1995,SPECIES,192417,,II,23/06/2010,Included in Appendix II,NEW,II
Plant,Zygosicyos tripartitus,Humbert 1944,SPECIES,7994,,II,23/06/2010,Included in Appendix II,NEW,II
Plant,Acampe wightiana,,Species,184683,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthephippium bicolor,Lindley,Species,46173,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthephippium curtisii,Reichb.f.,Species,76406,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthephippium gougahense,,Species,186163,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthephippium javanicum,Blume,Species,50399,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthephippium lycaste,Ridley,Species,67715,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthocereus horridus,Britton & Rose,Species,106030,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthocereus occidentalis,Britton & Rose,Species,27380,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthocereus subinermis,Britton & Rose,Species,29415,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthocereus tetragonus,(Linnaeus) Hummelinck,Species,68133,Barbwire Apple-cactus,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Aceras anthropophorum,(L.) W.T.Aiton,Species,62241,Man Orchid,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Aceratorchis albiflora,Schl.,Species,105658,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus aegeridantennatus,Halle,Species,30309,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus amplexicaulis,(Bailey) Rolfe,Species,14696,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus apprimus,D.L.Jones,Species,155343,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus atepalus,Reichb.f.,Species,30310,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus bracteatus,Rendle,Species,30301,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus confusus,Guillaumin,Species,30308,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus corniculatus,Rendle,Species,30303,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus cymbalariifolius,F. Muell & Kranzlin,Species,30302,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus elegans,Reichb.f.,Species,30307,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus exiguus,D.L.Jones,Species,154848,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus grandiflorus,Schltr.,Species,30311,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus heptadactylus,Kranzlin,Species,30315,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus ledwardii,Rupp,Species,12870,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus macroglossus,Schltr.,Species,30305,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus oxyglossus,Schltr.,Species,30306,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus sublestus,Dockr.,Species,156415,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus tenellus,Schltr.,Species,30312,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus tenuilabris,Schltr.,Species,30313,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus tenuissimus,Nicholls & Goadby,Species,14500,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus uvarius,Halle,Species,30314,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acianthus veillonis,Halle,Species,30304,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta alticola,C.Schweinf.,Species,172866,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta antioquiae,Schltr.,Species,172867,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta barkeri,(Bateman) Lindley,Species,20858,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta beyrodtiana,Schltr.,Species,172870,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta chrysantha,(C.Morren) Lindl. & Paxton,Species,172871,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta confusa,Schltr. 1917,Species,177290,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta cryptodonta,Rchb.f.,Species,172872,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta dalessandroi,Dodson 1984,Species,176686,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta densa,Lindl. & Paxton 1850-1,Species,172873,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta erythroxantha,Rchb.f.,Species,53622,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta hennisiana,Schltr.,Species,172874,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta hrubyana,Rchb.f. (1882),Species,172875,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta sella-turcica,Rchb.f. 1852,Species,172879,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta sulcata,Rchb.f. 1879,Species,176689,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acineta superba,"(Humboldt, Bonpl. & Kunth) Rchb.f.",Species,75760,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acostaea trilobata,Luer,Species,82720,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acriopsis carrii,Holttum,Species,40126,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acriopsis densiflora,Lindley,Species,67716,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acriopsis gracilis,M.E. Minderhoud & de Vogel,Species,67717,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acriopsis indica,Wight,Species,50402,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acriopsis javanica,Reinw. ex Blume,Species,50403,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acrochaene punctata,Lindl.,Species,192329,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acrolophia barbata,(Thunb.) H.P.Linder,Species,158098,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acrolophia bolusii,Rolfe,Species,159263,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acrolophia cochlearis,(L.) W.T.Aiton,Species,34411,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acrolophia micrantha,(Lindl.) Schltr. & Bolus,Species,5114,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acrolophia ustulata,(Bolus) Schltr. & Bolus,Species,5115,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acrorchis roseola,Dressler 1990,Species,172882,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Ada allenii,(C. Schweinf.) N.H. Williams,Species,16732,,II,23/06/2010,Change in Annotation,ANNOTATION,II
